CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,OID,MB_Intermedia,MB_Transbordo,MB_Terminal_Transbordo,MB_Terminal,MB_tot
9003,9,3,Coyoacán,1,11,0,0,0,11
9007,9,7,Iztapalapa,2,17,0,0,1,18
9008,9,8,La Magdalena Contreras,3,0,0,0,0,0
9009,9,9,Milpa Alta,4,0,0,0,0,0
9010,9,10,Álvaro Obregón,5,4,0,0,1,5
9011,9,11,Tláhuac,6,0,0,0,0,0
9012,9,12,Tlalpan,7,7,0,0,1,8
9013,9,13,Xochimilco,8,3,0,0,1,4
9006,9,6,Iztacalco,9,17,2,0,0,19
9015,9,15,Cuauhtémoc,10,75,20,1,3,99
9017,9,17,Venustiano Carranza,11,17,4,1,2,24
9002,9,2,Azcapotzalco,12,7,0,0,1,8
9016,9,16,Miguel Hidalgo,13,5,0,0,2,7
9005,9,5,Gustavo A. Madero,14,54,12,3,4,73
9004,9,4,Cuajimalpa de Morelos,15,0,0,0,0,0
9014,9,14,Benito Juárez,16,17,5,1,1,24
