index,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,NUM_MALLS,EST_TOT,NUM_UH,NUM_SUB,Pobreza_Extrema,Pobreza_Economica,Pobreza_bienes_durables,Pobreza_Energia,Pobreza_Internet,Pobreza_Seguridad_Social,Pobreza_Servicios_Salud,Indice_Desarrollo_Social
0,9002,9,2,Azcapotzalco,45,67,1054,1,10.038841725782067,24.2,29.481800209326664,1.1785091289684846,17.63623677171764,29.148040469822075,30.102570066286777,0.8786477
2,9003,9,3,Coyoacán,76,109,1481,2,9.831481042029216,27.1,22.192888783420344,1.0317789906660337,12.669903232610874,35.71857037388599,33.28488372093023,0.8761034
3,9004,9,4,Cuajimalpa de Morelos,26,36,0,1,14.74967364895312,32.5,31.394273874727652,0.9096019214063059,18.40387626069061,41.98059082314793,35.66215582159166,0.8422069
5,9005,9,5,Gustavo A. Madero,52,98,923,3,13.091695340835116,33.8,34.33968470469912,0.7506087879007064,20.90829088178665,34.648814628820205,35.75858244555352,0.8400803
6,9006,9,6,Iztacalco,22,49,996,0,12.855548734874034,25.2,28.984941757731047,0.7704332568699036,18.26249903695843,34.6945977717082,35.38898181031933,0.8493623
7,9007,9,7,Iztapalapa,95,137,4912,3,23.235976464984166,43.9,41.51828638973916,1.170631070102238,23.333671480112557,46.91180102855429,50.1798977620564,0.8029634
8,9008,9,8,La Magdalena Contreras,11,22,131,0,20.624152521605595,42.5,37.05829017660224,1.327784221790201,21.320514286647825,41.340200290797405,40.43758474783944,0.8269035
10,9009,9,9,Milpa Alta,2,9,0,0,36.22399161178282,54.7,46.42550542285134,4.515875356335398,47.331170746092596,63.64690848323995,67.59133654444773,0.7582393
15,9010,9,10,Álvaro Obregón,84,107,601,2,17.227192616609937,37.7,32.17573221757322,0.7659190894536453,19.42646880759865,40.26611416809052,37.32742267486445,0.8455274
12,9011,9,11,Tláhuac,13,23,735,0,22.423406201502587,42.4,38.22624076300887,1.0000102775979198,27.354597683429425,47.63718023823472,51.30319941623244,0.8088415
11,9012,9,12,Tlalpan,75,76,952,1,20.796275457803496,39.7,30.730506606497727,1.2772417817826205,23.35740379879036,45.86600950780978,45.685878259010536,0.8308535
14,9013,9,13,Xochimilco,19,39,171,2,28.499824432158523,48.2,41.44709211459416,1.53581698716404,32.20258463402711,51.517342201230576,51.63897743781112,0.8026394
1,9014,9,14,Benito Juárez,73,287,210,2,3.963653856932016,7.9,13.563481981056288,0.5427167597660993,6.854951706615353,32.034533973508694,25.991322136491863,0.9320746
4,9015,9,15,Cuauhtémoc,172,799,679,4,12.0562138580566,20.9,30.4965103024657,0.7140341509412527,16.090857106069382,38.67902735332099,34.254136323528854,0.8483011
9,9016,9,16,Miguel Hidalgo,43,290,525,1,7.209992487783351,13.5,23.199609265563055,1.015760779287108,13.022911021140814,33.76902537046632,26.245404035771042,0.8943365
13,9017,9,17,Venustiano Carranza,24,122,893,1,14.722732579713819,30.0,32.06292029070767,0.9356134999864241,19.436323977952558,40.40922625781752,40.189294861931955,0.8354642
